# cmip6: regional means at warming levels for individual models - CDD
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: CDD
# variable: pr
# units: day
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
198,-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,pr,1.76,1.86,2.2,2.82
199,-3,ocean,Ocean,IITM-ESM,r1i1p1f1,ssp126,day,gn,pr,1.94,,,
200,-3,ocean,Ocean,IITM-ESM,r1i1p1f1,ssp245,day,gn,pr,2.08,2.18,,
201,-3,ocean,Ocean,IITM-ESM,r1i1p1f1,ssp585,day,gn,pr,2.06,2.94,3.84,
202,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,pr,-0.32,,,
203,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,pr,-0.15,-0.16,,
204,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,pr,-0.11,-0.1,-0.23,
205,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,pr,-0.16,-0.16,-0.33,
206,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,pr,-0.39,,,
207,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,pr,-0.24,-0.3,,
208,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,pr,-0.21,-0.18,-0.21,
209,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,pr,-0.2,-0.22,-0.2,
210,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,pr,0.37,0.28,,
211,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,pr,0.4,0.26,,
212,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,pr,0.33,0.69,0.77,
213,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,pr,0.32,0.62,0.91,1.58
214,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,pr,0.23,0.56,0.83,1.33
215,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,pr,1.77,1.81,,
216,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,pr,1.65,1.56,2.13,
217,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,pr,1.96,2.33,2.74,3.62
218,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,pr,1.84,1.84,2.2,2.69
219,-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,pr,1.17,,,
220,-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,pr,1.29,1.12,,
221,-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp585,day,gr1,pr,1.03,1.42,2.29,
222,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,pr,-0.08,,,
223,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,pr,-0.09,0.0,,
224,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,pr,0.21,0.13,0.16,
225,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,pr,0.03,0.09,0.22,
226,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp126,day,gn,pr,0.1,,,
227,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp245,day,gn,pr,0.31,0.26,,
228,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp370,day,gn,pr,0.33,0.49,,
229,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp585,day,gn,pr,0.5,0.58,1.07,
230,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,pr,1.81,,,
231,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,pr,2.17,2.57,,
232,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,pr,2.4,2.77,4.24,
