# cmip6: multi-model-median regional means at warming levels - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
144,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.24,1.64,,
145,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.26,1.64,2.4,3.22
146,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.27,1.63,2.47,3.29
147,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.26,1.59,2.43,3.24
148,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.27,1.72,,
149,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.31,1.74,2.66,
150,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.29,1.73,2.66,3.63
151,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.31,1.72,2.63,3.61
152,-3,ocean,Ocean,EC-Earth3-AerChem,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.41,1.91,2.86,3.8
153,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp119,txx_reg_ave_ar6,day,gr,tasmax,1.18,1.64,,
154,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.2,1.64,,
155,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.19,1.67,2.56,
156,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.19,1.68,2.57,3.49
157,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.19,1.63,2.58,3.47
158,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,txx_reg_ave_ar6,day,gr,tasmax,1.26,,,
159,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.28,,,
